frame,track_id,x1,y1,x2,y2,cx,cy
0,1,1080,501,1174,807,1127,654
0,2,1504,588,1650,977,1577,782
0,3,733,512,804,797,768,654
0,4,879,536,986,881,932,708
0,5,657,582,746,974,701,778
0,6,275,582,375,962,325,772
0,7,1181,594,1298,972,1239,783
0,8,1355,511,1468,811,1411,661
0,9,432,491,509,803,470,647
1,1,1080,502,1174,807,1127,654
1,2,1503,587,1649,977,1576,782
1,3,733,512,804,797,768,654
1,4,878,535,985,881,931,708
1,5,657,582,747,975,702,778
1,6,274,583,374,962,324,772
1,7,1180,594,1296,972,1238,783
1,8,1356,512,1468,811,1412,661
1,9,432,491,509,803,470,647
2,1,1080,501,1175,807,1127,654
2,2,1502,587,1648,977,1575,782
2,3,733,512,804,797,768,654
2,4,878,537,985,881,931,709
2,5,657,582,747,975,702,778
2,6,273,583,373,962,323,772
2,7,1179,594,1295,972,1237,783
2,8,1356,512,1468,811,1412,661
2,9,432,490,508,803,470,646
3,1,1079,501,1173,807,1126,654
3,2,1499,586,1645,977,1572,781
3,3,733,512,804,798,768,655
3,4,878,537,984,881,931,709
3,5,658,582,747,974,702,778
3,6,272,583,373,962,322,772
3,7,1178,594,1294,972,1236,783
3,8,1356,511,1469,811,1412,661
3,9,430,492,507,803,468,647
4,1,1078,501,1172,807,1125,654
4,2,1495,585,1641,977,1568,781
4,3,734,512,804,798,769,655
4,4,877,538,983,881,930,709
4,5,658,582,748,974,703,778
4,6,271,583,372,962,321,772
4,7,1177,594,1293,972,1235,783
4,8,1356,511,1469,811,1412,661
4,9,430,491,506,803,468,647
5,1,1077,501,1171,807,1124,654
5,2,1493,585,1638,976,1565,780
5,3,735,512,805,798,770,655
5,4,877,537,983,881,930,709
5,5,658,582,748,974,703,778
5,6,271,583,371,962,321,772
5,7,1177,594,1292,972,1234,783
5,8,1356,511,1469,811,1412,661
5,9,429,491,505,803,467,647
6,1,1077,501,1170,807,1123,654
6,2,1491,586,1634,976,1562,781
6,3,735,511,806,798,770,654
6,4,876,537,981,881,928,709
6,5,657,582,747,975,702,778
6,6,270,583,370,962,320,772
6,7,1176,594,1291,972,1233,783
6,8,1356,511,1470,812,1413,661
6,9,428,492,503,803,465,647
7,1,1076,501,1168,807,1122,654
7,2,1490,587,1632,975,1561,781
7,3,736,512,806,797,771,654
7,4,875,536,980,881,927,708
7,5,657,582,747,975,702,778
7,6,269,583,369,962,319,772
7,7,1176,594,1289,972,1232,783
7,8,1356,511,1470,812,1413,661
7,9,427,491,502,803,464,647
8,1,1076,501,1168,807,1122,654
8,2,1490,587,1631,974,1560,780
8,3,736,512,807,797,771,654
8,4,874,535,979,881,926,708
8,5,657,582,747,975,702,778
8,6,268,583,369,962,318,772
8,7,1175,594,1288,972,1231,783
8,8,1357,511,1470,812,1413,661
8,9,427,491,502,803,464,647
9,1,1076,501,1167,807,1121,654
9,2,1491,588,1631,974,1561,781
9,3,736,511,807,798,771,654
9,4,873,532,978,881,925,706
9,5,657,583,747,975,702,779
9,6,268,583,368,962,318,772
9,7,1175,594,1286,972,1230,783
9,8,1357,512,1470,812,1413,662
9,9,427,491,501,802,464,646
10,1,1076,500,1166,807,1121,653
10,2,1492,589,1630,975,1561,782
10,3,736,512,807,798,771,655
10,4,873,530,977,881,925,705
10,5,657,583,747,975,702,779
10,6,267,583,367,962,317,772
10,7,1175,594,1285,972,1230,783
10,8,1356,512,1470,812,1413,662
10,9,427,491,500,802,463,646
11,1,1076,500,1166,807,1121,653
11,2,1492,589,1630,975,1561,782
11,3,736,512,807,798,771,655
11,4,873,530,976,881,924,705
11,5,657,583,747,975,702,779
11,6,266,583,367,962,316,772
11,7,1175,594,1284,972,1229,783
11,8,1356,512,1470,812,1413,662
11,9,427,491,500,802,463,646
12,1,1076,500,1165,806,1120,653
12,2,1494,589,1631,976,1562,782
12,3,737,512,808,798,772,655
12,4,873,529,975,881,924,705
12,5,657,582,747,974,702,778
12,6,266,583,367,962,316,772
12,7,1176,594,1284,972,1230,783
12,8,1356,512,1470,812,1413,662
12,9,427,491,499,802,463,646
13,1,1077,500,1165,807,1121,653
13,2,1494,589,1630,976,1562,782
13,3,737,512,808,798,772,655
13,4,873,530,974,881,923,705
13,5,658,583,748,975,703,779
13,6,265,583,366,962,315,772
13,7,1177,594,1284,972,1230,783
13,8,1356,511,1470,812,1413,661
13,9,427,491,499,802,463,646
14,1,1077,500,1165,806,1121,653
14,2,1495,589,1631,976,1563,782
14,3,737,512,809,798,773,655
14,4,873,530,974,881,923,705
14,5,658,583,748,975,703,779
14,6,265,583,366,962,315,772
14,7,1178,594,1284,972,1231,783
14,8,1356,511,1471,812,1413,661
14,9,427,491,499,802,463,646
15,1,1077,500,1165,807,1121,653
15,2,1496,589,1631,976,1563,782
15,3,737,512,809,798,773,655
15,4,874,530,974,881,924,705
15,5,657,582,748,975,702,778
15,6,263,584,364,962,313,773
15,7,1179,594,1285,972,1232,783
15,8,1356,511,1471,812,1413,661
15,9,427,491,498,802,462,646
16,1,1078,499,1165,807,1121,653
16,2,1496,589,1632,977,1564,783
16,3,737,512,809,798,773,655
16,4,874,530,973,881,923,705
16,5,658,583,748,975,703,779
16,6,263,584,364,962,313,773
16,7,1182,594,1286,972,1234,783
16,8,1356,511,1471,812,1413,661
16,9,426,491,497,802,461,646
17,1,1078,499,1165,807,1121,653
17,2,1497,589,1632,977,1564,783
17,3,737,512,809,798,773,655
17,4,875,530,973,881,924,705
17,5,657,583,747,975,702,779
17,6,262,585,364,962,313,773
17,7,1184,594,1288,972,1236,783
17,8,1356,511,1471,812,1413,661
17,9,426,491,497,802,461,646
18,1,1079,499,1165,806,1122,652
18,2,1497,589,1631,977,1564,783
18,3,737,513,809,798,773,655
18,4,875,529,973,881,924,705
18,5,657,583,747,974,702,778
18,6,261,586,363,962,312,774
18,7,1187,594,1289,972,1238,783
18,8,1356,511,1470,812,1413,661
18,9,425,491,496,802,460,646
19,1,1079,499,1165,806,1122,652
19,2,1497,589,1631,977,1564,783
19,3,737,513,810,798,773,655
19,4,875,529,972,881,923,705
19,5,656,585,746,975,701,780
19,6,261,588,364,962,312,775
19,7,1188,595,1289,972,1238,783
19,8,1356,511,1470,812,1413,661
19,9,424,490,496,802,460,646
20,1,1080,499,1165,806,1122,652
20,2,1497,589,1631,977,1564,783
20,3,737,513,810,798,773,655
20,4,875,529,972,881,923,705
20,5,656,585,746,975,701,780
20,6,261,590,365,962,313,776
20,7,1189,595,1289,972,1239,783
20,8,1355,511,1470,812,1412,661
20,9,424,491,496,802,460,646
21,1,1080,500,1166,806,1123,653
21,2,1497,588,1631,977,1564,782
21,3,737,514,811,798,774,656
21,4,875,529,972,881,923,705
21,5,656,586,746,974,701,780
21,6,261,593,365,961,313,777
21,7,1190,596,1289,972,1239,784
21,8,1355,511,1470,812,1412,661
21,9,424,493,496,802,460,647
22,1,1080,500,1166,806,1123,653
22,2,1498,587,1632,977,1565,782
22,3,737,514,811,798,774,656
22,4,876,528,972,881,924,704
22,5,656,589,745,974,700,781
22,6,261,597,366,962,313,779
22,7,1190,595,1289,973,1239,784
22,8,1355,511,1470,812,1412,661
22,9,424,495,495,802,459,648
23,1,1080,500,1166,806,1123,653
23,2,1498,585,1633,977,1565,781
23,3,737,514,811,797,774,655
23,4,876,528,972,881,924,704
23,5,656,591,744,974,700,782
23,6,261,600,368,962,314,781
23,7,1191,595,1289,973,1240,784
23,8,1355,511,1470,812,1412,661
23,9,424,498,495,802,459,650
24,1,1081,500,1166,806,1123,653
24,2,1499,584,1635,977,1567,780
24,3,737,515,811,797,774,656
24,4,876,529,972,881,924,705
24,5,656,596,744,974,700,785
24,6,261,607,369,961,315,784
24,7,1191,595,1288,973,1239,784
24,8,1355,510,1470,812,1412,661
24,9,423,503,494,802,458,652
25,1,1080,500,1166,807,1123,653
25,2,1500,583,1636,977,1568,780
25,3,737,516,810,797,773,656
25,4,876,529,971,881,923,705
25,5,653,602,741,974,697,788
25,6,262,613,370,961,316,787
25,7,1191,595,1288,973,1239,784
25,8,1355,510,1470,811,1412,660
25,9,424,510,494,802,459,656
26,1,1080,500,1166,807,1123,653
26,2,1500,581,1638,977,1569,779
26,3,736,518,809,797,772,657
26,4,876,529,971,881,923,705
26,5,651,606,740,974,695,790
26,6,262,618,371,961,316,789
26,7,1192,595,1288,973,1240,784
26,8,1355,509,1470,811,1412,660
26,9,424,516,493,802,458,659
27,1,1080,502,1165,807,1122,654
27,2,1501,580,1639,977,1570,778
27,3,735,521,809,798,772,659
27,4,877,528,971,881,924,704
27,5,648,612,738,975,693,793
27,6,262,626,372,961,317,793
27,7,1192,595,1288,972,1240,783
27,8,1355,508,1470,812,1412,660
27,9,422,523,491,802,456,662
28,1,1080,504,1164,806,1122,655
28,2,1501,580,1639,976,1570,778
28,3,734,528,807,798,770,663
28,4,877,539,969,881,923,710
28,5,647,620,737,975,692,797
28,6,263,635,373,961,318,798
28,7,1192,596,1288,972,1240,784
28,8,1355,510,1470,811,1412,660
28,9,420,530,489,803,454,666
29,1,1080,505,1164,806,1122,655
29,2,1501,580,1640,976,1570,778
29,3,732,532,807,798,769,665
29,4,877,543,968,881,922,712
29,5,645,624,736,975,690,799
29,6,262,641,374,961,318,801
29,7,1192,598,1287,972,1239,785
29,8,1356,511,1470,811,1413,661
29,9,419,535,488,803,453,669
30,1,1079,507,1163,806,1121,656
30,2,1501,581,1641,975,1571,778
30,3,731,538,805,797,768,667
30,4,877,544,967,881,922,712
30,5,643,629,736,975,689,802
30,6,262,649,374,961,318,805
30,7,1193,599,1288,972,1240,785
30,8,1358,518,1469,811,1413,664
30,9,417,541,488,803,452,672
31,1,1077,511,1160,806,1118,658
31,2,1502,582,1641,975,1571,778
31,3,729,545,803,797,766,671
31,4,877,552,966,880,921,716
31,5,642,633,736,975,689,804
31,6,263,657,375,961,319,809
31,7,1194,605,1288,972,1241,788
31,8,1357,525,1467,812,1412,668
31,9,416,544,487,802,451,673
32,1,1076,513,1159,806,1117,659
32,2,1502,583,1642,975,1572,779
32,3,729,551,803,797,766,674
32,4,878,560,965,880,921,720
32,5,641,636,737,975,689,805
32,6,262,662,376,961,319,811
32,7,1194,610,1287,972,1240,791
32,8,1356,529,1465,812,1410,670
32,9,415,546,487,802,451,674
33,1,1075,517,1158,806,1116,661
33,2,1502,583,1642,975,1572,779
33,3,728,557,803,797,765,677
33,4,878,572,963,880,920,726
33,5,639,638,737,975,688,806
33,6,261,665,376,961,318,813
33,7,1194,618,1287,972,1240,795
33,8,1354,535,1463,812,1408,673
33,9,414,547,488,802,451,674
34,1,1073,521,1156,805,1114,663
34,2,1502,585,1643,976,1572,780
34,3,727,564,802,797,764,680
34,4,878,580,962,880,920,730
34,5,638,639,737,975,687,807
34,6,260,666,377,961,318,813
34,7,1195,630,1286,971,1240,800
34,8,1352,543,1460,812,1406,677
34,9,413,547,488,802,450,674
35,1,1072,523,1155,805,1113,664
35,2,1502,586,1643,976,1572,781
35,3,726,568,802,797,764,682
35,4,878,589,962,880,920,734
35,5,636,639,737,975,686,807
35,6,258,666,378,961,318,813
35,7,1194,637,1285,971,1239,804
35,8,1351,549,1458,812,1404,680
35,9,412,547,489,802,450,674
36,1,1071,526,1154,805,1112,665
36,2,1502,590,1643,976,1572,783
36,3,726,573,802,797,764,685
36,4,879,599,962,880,920,739
36,5,635,639,738,975,686,807
36,6,257,666,379,961,318,813
36,7,1193,642,1285,971,1239,806
36,8,1351,557,1457,813,1404,685
36,9,411,546,490,802,450,674
37,1,1070,527,1154,805,1112,666
37,2,1503,596,1643,977,1573,786
37,3,725,578,801,797,763,687
37,4,877,602,962,880,919,741
37,5,634,638,738,975,686,806
37,6,256,664,380,961,318,812
37,7,1192,649,1284,971,1238,810
37,8,1349,562,1455,813,1402,687
37,9,411,544,492,802,451,673
38,1,1069,528,1154,805,1111,666
38,2,1503,601,1642,977,1572,789
38,3,724,580,801,797,762,688
38,4,876,604,962,880,919,742
38,5,633,638,739,975,686,806
38,6,255,662,381,961,318,811
38,7,1191,653,1284,971,1237,812
38,8,1348,566,1455,813,1401,689
38,9,411,543,492,802,451,672
39,1,1069,528,1154,805,1111,666
39,2,1502,608,1640,977,1571,792
39,3,723,583,801,797,762,690
39,4,875,608,963,880,919,744
39,5,632,637,739,975,685,806
39,6,253,660,382,961,317,810
39,7,1190,656,1284,971,1237,813
39,8,1347,569,1454,813,1400,691
39,9,410,541,494,802,452,671
40,1,1068,528,1154,805,1111,666
40,2,1501,620,1637,977,1569,798
40,3,722,584,801,797,761,690
40,4,875,612,964,880,919,746
40,5,630,636,740,975,685,805
40,6,252,658,382,961,317,809
40,7,1188,657,1284,971,1236,814
40,8,1346,572,1454,813,1400,692
40,9,410,540,495,802,452,671
41,1,1067,527,1154,805,1110,666
41,2,1499,629,1635,977,1567,803
41,3,721,584,802,797,761,690
41,4,874,614,965,880,919,747
41,5,630,636,740,975,685,805
41,6,251,657,383,961,317,809
41,7,1187,657,1285,971,1236,814
41,8,1345,573,1454,813,1399,693
41,9,410,539,495,802,452,670
42,1,1067,527,1155,805,1111,666
42,2,1498,640,1633,977,1565,808
42,3,721,584,802,797,761,690
42,4,873,617,965,881,919,749
42,5,629,635,740,975,684,805
42,6,251,657,383,961,317,809
42,7,1186,657,1285,971,1235,814
42,8,1344,575,1454,813,1399,694
42,9,410,538,496,802,453,670
43,1,1067,526,1155,805,1111,665
43,2,1496,649,1631,977,1563,813
43,3,720,584,803,797,761,690
43,4,872,618,966,880,919,749
43,5,628,635,741,975,684,805
43,6,250,656,382,961,316,808
43,7,1185,658,1285,972,1235,815
43,8,1343,576,1454,813,1398,694
43,9,410,538,497,802,453,670
44,1,1066,526,1156,805,1111,665
44,2,1495,654,1630,977,1562,815
44,3,719,584,804,797,761,690
44,4,871,619,966,880,918,749
44,5,627,635,741,975,684,805
44,6,249,657,383,961,316,809
44,7,1184,656,1286,971,1235,813
44,8,1342,575,1454,813,1398,694
44,9,410,538,497,802,453,670
45,1,1066,524,1156,805,1111,664
45,2,1494,659,1631,977,1562,818
45,3,719,583,804,797,761,690
45,4,870,619,967,880,918,749
45,5,627,635,741,975,684,805
45,6,248,658,382,961,315,809
45,7,1183,653,1287,971,1235,812
45,8,1342,575,1455,813,1398,694
45,9,410,537,498,802,454,669
46,1,1066,523,1157,805,1111,664
46,2,1493,662,1632,978,1562,820
46,3,718,582,805,797,761,689
46,4,868,618,968,880,918,749
46,5,625,635,741,975,683,805
46,6,248,661,381,961,314,811
46,7,1182,650,1288,971,1235,810
46,8,1341,575,1456,813,1398,694
46,9,410,538,498,802,454,670
47,1,1066,523,1157,805,1111,664
47,2,1491,663,1633,978,1562,820
47,3,718,581,806,797,762,689
47,4,867,617,968,881,917,749
47,5,625,635,740,975,682,805
47,6,248,662,381,961,314,811
47,7,1182,647,1289,971,1235,809
47,8,1341,575,1456,812,1398,693
47,9,410,539,498,802,454,670
48,1,1065,523,1158,805,1111,664
48,2,1490,661,1635,978,1562,819
48,3,718,580,806,797,762,688
48,4,866,615,969,881,917,748
48,5,624,634,740,975,682,804
48,6,248,664,381,961,314,812
48,7,1181,644,1290,971,1235,807
48,8,1340,577,1456,812,1398,694
48,9,410,540,498,802,454,671
49,1,1065,524,1158,805,1111,664
49,2,1490,659,1637,977,1563,818
49,3,717,579,807,797,762,688
49,4,865,613,969,881,917,747
49,5,623,634,740,975,681,804
49,6,248,667,380,961,314,814
49,7,1181,641,1290,971,1235,806
49,8,1340,578,1456,813,1398,695
49,9,410,542,498,802,454,672
50,1,1065,524,1159,805,1112,664
50,2,1489,657,1639,977,1564,817
50,3,717,576,808,797,762,686
50,4,864,611,970,881,917,746
50,5,622,634,740,975,681,804
50,6,248,668,380,961,314,814
50,7,1181,639,1291,971,1236,805
50,8,1340,578,1456,813,1398,695
50,9,410,543,499,802,454,672
51,1,1064,524,1159,806,1111,665
51,2,1489,654,1641,977,1565,815
51,3,717,573,809,797,763,685
51,4,863,609,970,881,916,745
51,5,622,634,741,975,681,804
51,6,247,670,380,961,313,815
51,7,1182,638,1292,971,1237,804
51,8,1339,579,1456,812,1397,695
51,9,410,543,499,802,454,672
52,1,1063,524,1159,806,1111,665
52,2,1489,651,1643,977,1566,814
52,3,715,570,809,797,762,683
52,4,862,605,970,881,916,743
52,5,621,632,742,975,681,803
52,6,248,670,380,961,314,815
52,7,1182,638,1292,971,1237,804
52,8,1339,580,1456,813,1397,696
52,9,410,545,499,802,454,673
53,1,1062,524,1158,806,1110,665
53,2,1488,649,1645,977,1566,813
53,3,715,567,811,797,763,682
53,4,861,604,970,881,915,742
53,5,621,631,743,975,682,803
53,6,247,669,380,961,313,815
53,7,1182,638,1292,972,1237,805
53,8,1339,581,1457,813,1398,697
53,9,410,546,499,802,454,674
54,1,1061,524,1157,806,1109,665
54,2,1488,645,1646,977,1567,811
54,3,715,564,812,797,763,680
54,4,861,605,969,881,915,743
54,5,621,628,745,975,683,801
54,6,247,665,381,961,314,813
54,7,1182,639,1292,972,1237,805
54,8,1339,583,1456,813,1397,698
54,9,410,546,500,802,455,674
55,1,1059,524,1156,806,1107,665
55,2,1487,642,1647,977,1567,809
55,3,714,560,813,798,763,679
55,4,859,605,968,880,913,742
55,5,622,624,748,975,685,799
55,6,247,660,382,961,314,810
55,7,1182,640,1291,972,1236,806
55,8,1338,584,1456,813,1397,698
55,9,410,546,500,802,455,674
56,1,1058,524,1156,806,1107,665
56,2,1486,639,1647,977,1566,808
56,3,707,557,809,799,758,678
56,4,858,602,967,880,912,741
56,5,622,621,751,975,686,798
56,6,247,656,383,962,315,809
56,7,1182,641,1291,972,1236,806
56,8,1338,584,1456,813,1397,698
56,9,409,546,500,802,454,674
57,1,1056,524,1154,805,1105,664
57,2,1485,635,1647,977,1566,806
57,3,711,553,814,799,762,676
57,4,856,596,967,880,911,738
